family,genus,species,status,updated_family,updated_genus,updated_species,occur_gbif_africa,occur_gbif_knp
Nynphalidae,Precis,terea elgiva,R,Nynphalidae,Junonia,terea,1571,
Nynphalidae,Precis,natalica natalica,R,Nynphalidae,Junonia,natalica natalica,81,
Nynphalidae,Precis,archesia,R,Nynphalidae,Junonia,archesia,1359,
Nynphalidae,Precis,octavia sesamus,R,Nynphalidae,Junonia,octavia sesamus,82,
Nynphalidae,Catacroptera,cloanthe,R,,,,567,
Nynphalidae,Salamis,anacardii nebulosa,R,Nynphalidae,Salamis,anacardii,446,
Nynphalidae,Salamis,parrhassus aethiops,R,,,,63,
Nynphalidae,Hypolimnas,misippus,C,,,,2480,
Nynphalidae,Hypolimnas,dubius wahlbergi,R,,,,,
Nynphalidae,Eurytela,dryope angulata,R,,,,589,
Nynphalidae,Byblia,ilithyia,C,,,,961,
Nynphalidae,Byblia,acheloia,C,,,,773,
Nynphalidae,Sallya,natalensis,R,,,,313,
Nynphalidae,Sallya,boisduvali,C,Nynphalidae,Asterope,boisduvali,817,
Nynphalidae,Neptis,saclava marpessa,R,,,,588,
Nynphalidae,Neptis,laeta,R,,,,292,
Nynphalidae,Cyretis,camillus sublineatus,R,,,,,
Nynphalidae,Hamanumida,daedalus,C,,,,1349,
Nynphalidae,Euxanthe,wakefieldii,R,Nynphalidae,Charaxes,wakefield,191,
Nynphalidae,Charaxes,jasius saturnus,C,,,,846,
Nynphalidae,Charaxes,castor flavifasciatus,R,,,,203,
Nynphalidae,Charaxes,brutus natalensis,C,,,,808,
Nynphalidae,Charaxes,candiope candiope,C,,,,1489,
Nynphalidae,Charaxes,varanes varanes,R,,,,605,
Nynphalidae,Charaxes,bohemani,R,,,,356,
Nynphalidae,Charaxes,zoolina zoolina,C,,,,660,
Nynphalidae,Charaxes,jahlusa argynnides,C,Nynphalidae,Charaxes,jahlusa,660,
Nynphalidae,Charaxes,achaemenes achaemenes,C,,,,460,
Nynphalidae,Charaxes,ethalion ethalion,R,,,,422,
Nynphalidae,Charaxes,phaeus,C,Nynphalidae,Charaxes,viola phaeus,156,
Nynphalidae,Charaxes,vansoni,C,,,,109,
Hesperiidae,Coeliades,libeon,R,,,,207,
Hesperiidae,Coeliades,forestan,C,,,,949,
Hesperiidae,Coeliades,pisistratus,C,,,,344,
Hesperiidae,Coeliades,keithloa keithloa,R,,,,159,
Hesperiidae,Tagiades,flesus,C,,,,958,
Hesperiidae,Eagris,nottoana nottana,R,,,,180,
Hesperiidae,Sarangesa,phidyle,C,,,,507,
Hesperiidae,Sarangesa,seineri durbana,C,,,,40,
Hesperiidae,Sarangesa,ruona,R,,,,34,
Hesperiidae,Sarangesa,motozi,R,,,,421,
Hesperiidae,Netrobalane,canopus,R,,,,316,
Hesperiidae,Caprona,pillaana,R,,,,151,
Hesperiidae,Leucochitonea,levubu,C,,,,165,
Hesperiidae,Abantis,paradisea,R,,,,177,
Hesperiidae,Abantis,venosa,R,,,,176,
Hesperiidae,Abantis,tettensis,R,,,,82,
Hesperiidae,Spialia,delagoae,C,,,,103,
Hesperiidae,Spialia,abscondita,R,,,,7,
Hesperiidae,Spialia,colotes transvaaliae,C,,,,156,
Hesperiidae,Spialia,diomus ferax,R,,,,270,
Hesperiidae,Spialia,spio,C,,,,769,
Hesperiidae,Gomalia,elma,C,,,,410,
Hesperiidae,Kedestes,macomo,C,Hesperiidae,Kedestes,lepenula macomo,234,
Hesperiidae,Kedestes,callicles,C,,,,219,
Hesperiidae,Paromodes,morantii,R,,,,163,
Hesperiidae,Acleros,mackenii,R,,,,574,
Hesperiidae,Andronymus,neander,R,,,,175,
Hesperiidae,Andronymus,caesar philander,C,,,,114,
Hesperiidae,Zophopetes,dysmephila,R,,,,269,
Hesperiidae,Platylesches,neba,R,,,,111,
Hesperiidae,Platylesches,moritili,C,,,,194,
Hesperiidae,Platylesches,galesa,R,,,,82,
Hesperiidae,Platylesches,picanini,R,,,,42,
Hesperiidae,Pelopidas,mathias,C,,,,235,
Hesperiidae,Pelopidas,thrax inconspicua,C,,,,210,
Hesperiidae,Borbo,fatuellus,C,Hesperiidae,Baoris,fatuellus,433,
Hesperiidae,Borbo,borbonica,R,,,,,
Hesperiidae,Borbo,gemella,C,,,,115,
Hesperiidae,Parnara,monasi,R,Hesperiidae,Parnara,naso monasi,149,
Hesperiidae,Gegenes,pumilio gambica,R,Hesperiidae,Gegenes,pumilio,120,
Hesperiidae,Gegenes,niso,R,,,,922,
